Experiment: E16-032  Active filters: FAM (465-510), Cy 5 / Cy 5.5 (618-660)
Include	Color	Pos	Name	465-510	618-660	Call	Score	Status
True	16744448	A1	Sample 1	24.245	3.363	Allele X	0.80	
True	255	A3	Sample 3	11.028	10.786	Both Alleles	0.46	* - Manually edited
True	3200768	A5	Sample 5	1.093	5.222	Allele Y	0.43	* - Manually edited
True	8421504	A7	Sample 7	0.389	2.923	Negative	0.91	* - Manually edited
True	16744448	A9	Sample 9	26.194	8.458	Allele X	1.00	
True	16744448	A11	Sample 11	25.340	8.617	Allele X	0.98	
True	16744448	A13	Sample 13	24.246	7.335	Allele X	0.98	
True	16744448	A15	Sample 15	24.136	8.820	Allele X	0.96	
True	16744448	A17	Sample 17	23.420	9.107	Allele X	0.94	
True	16744448	A19	Sample 19	25.463	9.197	Allele X	0.96	
True	16744448	A21	Sample 21	18.569	6.753	Allele X	0.96	
True	16744448	A23	Sample 23	18.264	2.182	Allele X	0.77	
True	16744448	C1	Sample 49	22.127	7.082	Allele X	0.99	
True	16711935	C3	Sample 51	12.488	3.814	Unknown	0.98	* - Manually edited
True	16744448	C5	Sample 53	21.623	6.251	Allele X	0.96	
True	16744448	C7	Sample 55	25.626	7.505	Allele X	0.97	
True	8421504	C9	Sample 57		0.277	Negative	0.00	
True	16711935	C11	Sample 59	13.585	7.607	Unknown	0.76	* - Manually edited
True	16744448	C13	Sample 61	22.402	6.986	Allele X	0.99	
True	8421504	C15	Sample 63	0.109		Negative	0.00	
True	16744448	C17	Sample 65	28.249	9.417	Allele X	0.99	
True	16744448	C19	Sample 67	20.843	7.440	Allele X	0.97	
True	16744448	C21	Sample 69	22.167	8.046	Allele X	0.96	
True	16744448	C23	Sample 71	25.851	8.890	Allele X	0.98	
True	16744448	E1	Sample 97	21.718	7.790	Allele X	0.97	
True	16744448	E3	Sample 99	25.267	8.461	Allele X	0.99	
True	16744448	E5	Sample 101	25.509	8.541	Allele X	0.99	
True	16744448	E7	Sample 103	23.050	7.616	Allele X	0.99	
True	16744448	E9	Sample 105	24.723	8.434	Allele X	0.98	
True	16744448	E11	Sample 107	24.960	8.713	Allele X	0.98	
True	16744448	E13	Sample 109	24.180	7.719	Allele X	0.99	
True	16744448	E15	Sample 111	26.758	8.953	Allele X	0.99	
True	16744448	E17	Sample 113	23.474	8.327	Allele X	0.97	
True	16744448	E19	Sample 115	27.422	9.746	Allele X	0.97	
True	16744448	E21	Sample 117	23.383	8.708	Allele X	0.95	
True	16744448	E23	Sample 119	22.889	8.340	Allele X	0.96	
True	16744448	G1	Sample 145	21.519	7.173	Allele X	0.99	
True	16744448	G3	Sample 147	25.037	8.736	Allele X	0.98	
