Robot	LC Well	Plate	Well
FX	A1	1	A1
FX	B1	2	A1
FX	C1	1	B1
FX	D1	2	B1
FX	E1	1	C1
FX	F1	2	C1
FX	G1	1	D1
FX	H1	2	D1
FX	I1	1	E1
FX	J1	2	E1
FX	K1	1	F1
FX	L1	2	F1
FX	M1	1	G1
FX	N1	2	G1
FX	O1	1	H1
FX	P1	2	H1
FX	A2	3	A1
FX	B2	4	A1
FX	C2	3	B1
FX	D2	4	B1
FX	E2	3	C1
FX	F2	4	C1
FX	G2	3	D1
FX	H2	4	D1
FX	I2	3	E1
FX	J2	4	E1
FX	K2	3	F1
FX	L2	4	F1
FX	M2	3	G1
FX	N2	4	G1
FX	O2	3	H1
FX	P2	4	H1
FX	A3	1	A2
FX	B3	2	A2
FX	C3	1	B2
FX	D3	2	B2
FX	E3	1	C2
FX	F3	2	C2
FX	G3	1	D2
FX	H3	2	D2
FX	I3	1	E2
FX	J3	2	E2
FX	K3	1	F2
FX	L3	2	F2
FX	M3	1	G2
FX	N3	2	G2
FX	O3	1	H2
FX	P3	2	H2
FX	A4	3	A2
FX	B4	4	A2
FX	C4	3	B2
FX	D4	4	B2
FX	E4	3	C2
FX	F4	4	C2
FX	G4	3	D2
FX	H4	4	D2
FX	I4	3	E2
FX	J4	4	E2
FX	K4	3	F2
FX	L4	4	F2
FX	M4	3	G2
FX	N4	4	G2
FX	O4	3	H2
FX	P4	4	H2
FX	A5	1	A3
FX	B5	2	A3
FX	C5	1	B3
FX	D5	2	B3
FX	E5	1	C3
FX	F5	2	C3
FX	G5	1	D3
FX	H5	2	D3
FX	I5	1	E3
FX	J5	2	E3
FX	K5	1	F3
FX	L5	2	F3
FX	M5	1	G3
FX	N5	2	G3
FX	O5	1	H3
FX	P5	2	H3
FX	A6	3	A3
FX	B6	4	A3
FX	C6	3	B3
FX	D6	4	B3
FX	E6	3	C3
FX	F6	4	C3
FX	G6	3	D3
FX	H6	4	D3
FX	I6	3	E3
FX	J6	4	E3
FX	K6	3	F3
FX	L6	4	F3
FX	M6	3	G3
FX	N6	4	G3
FX	O6	3	H3
FX	P6	4	H3
FX	A7	1	A4
FX	B7	2	A4
FX	C7	1	B4
FX	D7	2	B4
FX	E7	1	C4
FX	F7	2	C4
FX	G7	1	D4
FX	H7	2	D4
FX	I7	1	E4
FX	J7	2	E4
FX	K7	1	F4
FX	L7	2	F4
FX	M7	1	G4
FX	N7	2	G4
FX	O7	1	H4
FX	P7	2	H4
FX	A8	3	A4
FX	B8	4	A4
FX	C8	3	B4
FX	D8	4	B4
FX	E8	3	C4
FX	F8	4	C4
FX	G8	3	D4
FX	H8	4	D4
FX	I8	3	E4
FX	J8	4	E4
FX	K8	3	F4
FX	L8	4	F4
FX	M8	3	G4
FX	N8	4	G4
FX	O8	3	H4
FX	P8	4	H4
FX	A9	1	A5
FX	B9	2	A5
FX	C9	1	B5
FX	D9	2	B5
FX	E9	1	C5
FX	F9	2	C5
FX	G9	1	D5
FX	H9	2	D5
FX	I9	1	E5
FX	J9	2	E5
FX	K9	1	F5
FX	L9	2	F5
FX	M9	1	G5
FX	N9	2	G5
FX	O9	1	H5
FX	P9	2	H5
FX	A10	3	A5
FX	B10	4	A5
FX	C10	3	B5
FX	D10	4	B5
FX	E10	3	C5
FX	F10	4	C5
FX	G10	3	D5
FX	H10	4	D5
FX	I10	3	E5
FX	J10	4	E5
FX	K10	3	F5
FX	L10	4	F5
FX	M10	3	G5
FX	N10	4	G5
FX	O10	3	H5
FX	P10	4	H5
FX	A11	1	A6
FX	B11	2	A6
FX	C11	1	B6
FX	D11	2	B6
FX	E11	1	C6
FX	F11	2	C6
FX	G11	1	D6
FX	H11	2	D6
FX	I11	1	E6
FX	J11	2	E6
FX	K11	1	F6
FX	L11	2	F6
FX	M11	1	G6
FX	N11	2	G6
FX	O11	1	H6
FX	P11	2	H6
FX	A12	3	A6
FX	B12	4	A6
FX	C12	3	B6
FX	D12	4	B6
FX	E12	3	C6
FX	F12	4	C6
FX	G12	3	D6
FX	H12	4	D6
FX	I12	3	E6
FX	J12	4	E6
FX	K12	3	F6
FX	L12	4	F6
FX	M12	3	G6
FX	N12	4	G6
FX	O12	3	H6
FX	P12	4	H6
FX	A13	1	A7
FX	B13	2	A7
FX	C13	1	B7
FX	D13	2	B7
FX	E13	1	C7
FX	F13	2	C7
FX	G13	1	D7
FX	H13	2	D7
FX	I13	1	E7
FX	J13	2	E7
FX	K13	1	F7
FX	L13	2	F7
FX	M13	1	G7
FX	N13	2	G7
FX	O13	1	H7
FX	P13	2	H7
FX	A14	3	A7
FX	B14	4	A7
FX	C14	3	B7
FX	D14	4	B7
FX	E14	3	C7
FX	F14	4	C7
FX	G14	3	D7
FX	H14	4	D7
FX	I14	3	E7
FX	J14	4	E7
FX	K14	3	F7
FX	L14	4	F7
FX	M14	3	G7
FX	N14	4	G7
FX	O14	3	H7
FX	P14	4	H7
FX	A15	1	A8
FX	B15	2	A8
FX	C15	1	B8
FX	D15	2	B8
FX	E15	1	C8
FX	F15	2	C8
FX	G15	1	D8
FX	H15	2	D8
FX	I15	1	E8
FX	J15	2	E8
FX	K15	1	F8
FX	L15	2	F8
